unit_id,panel_id,room,orientation,is_exterior
187,3B_DOOR0,living room,Unknown,False
187,3B_FLOOR1,living room,Unknown,False
187,3B_ROOF2,living room,Unknown,False
187,3B_WALL10,bathroom,North,True
187,3B_WINDOW9,bedroom 01,South,True
187,3B_WINDOW8,bedroom 01,West,True
187,3B_FLOOR11,bedroom 01,Unknown,False
187,3B_ROOF12,bedroom 01,Unknown,True
187,3B_WINDOW13,bedroom 02,West,True
187,3B_WALL15,bedroom 02,Unknown,False
187,3B_WALL14,bedroom 02,Unknown,False
187,3B_FLOOR16,bedroom 02,Unknown,False
187,3B_ROOF17,bedroom 02,Unknown,False
187,3B_WINDOW3,bedroom 03,West,True
187,3B_WALL5,bedroom 03,Unknown,False
187,3B_WALL4,bedroom 03,Unknown,False
187,3B_FLOOR6,bedroom 03,Unknown,False
187,3B_ROOF7,bedroom 03,Unknown,False
173,3B_DOOR0,living room,Unknown,False
173,3B_FLOOR1,living room,Unknown,False
173,3B_ROOF2,living room,Unknown,False
173,3B_WALL10,bathroom,West,True
173,3B_WINDOW9,bedroom 01,East,True
173,3B_WINDOW8,bedroom 01,South,True
173,3B_FLOOR11,bedroom 01,Unknown,False
173,3B_ROOF12,bedroom 01,Unknown,True
173,3B_WINDOW13,bedroom 02,South,True
173,3B_WALL15,bedroom 02,Unknown,False
173,3B_WALL14,bedroom 02,Unknown,False
173,3B_FLOOR16,bedroom 02,Unknown,False
173,3B_ROOF17,bedroom 02,Unknown,True
173,3B_WINDOW3,bedroom 03,South,True
173,3B_WALL5,bedroom 03,Unknown,False
173,3B_WALL4,bedroom 03,Unknown,False
173,3B_FLOOR6,bedroom 03,Unknown,False
173,3B_ROOF7,bedroom 03,Unknown,False
180,3B_DOOR0,living room,Unknown,False
180,3B_FLOOR1,living room,Unknown,False
180,3B_ROOF2,living room,Unknown,False
180,3B_WALL10,bathroom,North,True
180,3B_WINDOW9,bedroom 01,South,True
180,3B_WINDOW8,bedroom 01,West,True
180,3B_FLOOR11,bedroom 01,Unknown,False
180,3B_ROOF12,bedroom 01,Unknown,False
180,3B_WINDOW13,bedroom 02,West,True
180,3B_WINDOW15,bedroom 02,North,True
180,3B_WALL14,bedroom 02,Unknown,False
180,3B_FLOOR16,bedroom 02,Unknown,False
180,3B_ROOF17,bedroom 02,Unknown,False
180,3B_WINDOW3,bedroom 03,West,True
180,3B_WALL5,bedroom 03,Unknown,False
180,3B_WALL4,bedroom 03,Unknown,False
180,3B_FLOOR6,bedroom 03,Unknown,False
180,3B_ROOF7,bedroom 03,Unknown,False
1106,1B_WALL0,kitchen,Unknown,False
1106,1B_DOOR2,living room,Unknown,False
1106,1B_WALL1,living room,Unknown,False
1106,1B_FLOOR3,living room,Unknown,False
1106,1B_ROOF4,living room,Unknown,True
1106,1B_WALL7,bedroom 01,Unknown,False
1106,1B_WALL6,bedroom 01,Unknown,False
1106,1B_FLOOR8,bedroom 01,Unknown,False
1106,1B_ROOF9,bedroom 01,Unknown,False
193,3B_DOOR0,living room,Unknown,False
193,3B_FLOOR1,living room,Unknown,False
193,3B_ROOF2,living room,Unknown,False
193,3B_WALL10,bathroom,East,True
193,3B_WINDOW9,bedroom 01,West,True
193,3B_WINDOW8,bedroom 01,North,True
193,3B_FLOOR11,bedroom 01,Unknown,False
193,3B_ROOF12,bedroom 01,Unknown,False
193,3B_WINDOW13,bedroom 02,North,True
193,3B_WALL15,bedroom 02,Unknown,False
193,3B_WALL14,bedroom 02,Unknown,False
193,3B_FLOOR16,bedroom 02,Unknown,False
193,3B_ROOF17,bedroom 02,Unknown,False
193,3B_WINDOW3,bedroom 03,North,True
193,3B_WALL5,bedroom 03,Unknown,False
193,3B_WALL4,bedroom 03,Unknown,False
193,3B_FLOOR6,bedroom 03,Unknown,False
193,3B_ROOF7,bedroom 03,Unknown,False
190,3B_DOOR0,living room,Unknown,False
190,3B_FLOOR1,living room,Unknown,False
190,3B_ROOF2,living room,Unknown,False
190,3B_WALL10,bathroom,East,True
190,3B_WINDOW9,bedroom 01,West,True
190,3B_WINDOW8,bedroom 01,North,True
190,3B_FLOOR11,bedroom 01,Unknown,False
190,3B_ROOF12,bedroom 01,Unknown,False
190,3B_WINDOW13,bedroom 02,North,True
190,3B_WINDOW15,bedroom 02,East,True
190,3B_WALL14,bedroom 02,Unknown,False
190,3B_FLOOR16,bedroom 02,Unknown,False
190,3B_ROOF17,bedroom 02,Unknown,False
190,3B_WINDOW3,bedroom 03,North,True
190,3B_WALL5,bedroom 03,Unknown,False
190,3B_WALL4,bedroom 03,Unknown,False
190,3B_FLOOR6,bedroom 03,Unknown,False
190,3B_ROOF7,bedroom 03,Unknown,False
189,3B_DOOR0,living room,Unknown,False
189,3B_FLOOR1,living room,Unknown,True
189,3B_ROOF2,living room,Unknown,False
189,3B_WALL10,bathroom,East,True
189,3B_WINDOW9,bedroom 01,West,True
189,3B_WINDOW8,bedroom 01,North,True
189,3B_FLOOR11,bedroom 01,Unknown,True
189,3B_ROOF12,bedroom 01,Unknown,False
189,3B_WINDOW13,bedroom 02,North,True
189,3B_WINDOW15,bedroom 02,East,True
189,3B_WINDOW14,bedroom 02,South,True
189,3B_FLOOR16,bedroom 02,Unknown,True
189,3B_ROOF17,bedroom 02,Unknown,False
189,3B_WINDOW4,bedroom 03,West,True
189,3B_WINDOW3,bedroom 03,North,True
189,3B_WALL5,bedroom 03,Unknown,False
189,3B_FLOOR6,bedroom 03,Unknown,True
189,3B_ROOF7,bedroom 03,Unknown,False
191,2B_WALL1,kitchen,Unknown,False
191,2B_DOOR0,living room,Unknown,False
191,2B_FLOOR2,living room,Unknown,False
191,2B_ROOF3,living room,Unknown,False
191,2B_WALL11,bedroom 01,South,True
191,2B_WINDOW10,bedroom 01,North,True
191,2B_WINDOW9,bedroom 01,East,True
191,2B_FLOOR12,bedroom 01,Unknown,True
191,2B_ROOF13,bedroom 01,Unknown,False
191,2B_WINDOW5,bedroom 02,North,True
191,2B_WINDOW4,bedroom 02,East,True
191,2B_WALL6,bedroom 02,Unknown,False
191,2B_FLOOR7,bedroom 02,Unknown,False
191,2B_ROOF8,bedroom 02,Unknown,False
192,3B_DOOR0,living room,Unknown,False
192,3B_FLOOR1,living room,Unknown,False
192,3B_ROOF2,living room,Unknown,False
192,3B_WALL10,bathroom,South,True
192,3B_WINDOW9,bedroom 01,North,True
192,3B_WINDOW8,bedroom 01,East,True
192,3B_FLOOR11,bedroom 01,Unknown,False
192,3B_ROOF12,bedroom 01,Unknown,False
192,3B_WINDOW13,bedroom 02,East,True
192,3B_WALL15,bedroom 02,Unknown,False
192,3B_WALL14,bedroom 02,Unknown,False
192,3B_FLOOR16,bedroom 02,Unknown,False
192,3B_ROOF17,bedroom 02,Unknown,False
192,3B_WINDOW3,bedroom 03,East,True
192,3B_WALL5,bedroom 03,Unknown,False
192,3B_WALL4,bedroom 03,Unknown,False
192,3B_FLOOR6,bedroom 03,Unknown,False
192,3B_ROOF7,bedroom 03,Unknown,False
178,3B_DOOR0,living room,Unknown,False
178,3B_FLOOR1,living room,Unknown,False
178,3B_ROOF2,living room,Unknown,False
178,3B_WALL10,bathroom,West,True
178,3B_WINDOW9,bedroom 01,East,True
178,3B_WINDOW8,bedroom 01,South,True
178,3B_FLOOR11,bedroom 01,Unknown,True
178,3B_ROOF12,bedroom 01,Unknown,False
178,3B_WINDOW13,bedroom 02,South,True
178,3B_WALL15,bedroom 02,Unknown,False
178,3B_WALL14,bedroom 02,Unknown,False
178,3B_FLOOR16,bedroom 02,Unknown,False
178,3B_ROOF17,bedroom 02,Unknown,False
178,3B_WINDOW3,bedroom 03,South,True
178,3B_WALL5,bedroom 03,Unknown,False
178,3B_WALL4,bedroom 03,Unknown,False
178,3B_FLOOR6,bedroom 03,Unknown,False
178,3B_ROOF7,bedroom 03,Unknown,False
175,3B_DOOR0,living room,Unknown,False
175,3B_FLOOR1,living room,Unknown,False
175,3B_ROOF2,living room,Unknown,False
175,3B_WALL10,bathroom,West,True
175,3B_WINDOW9,bedroom 01,East,True
175,3B_WINDOW8,bedroom 01,South,True
175,3B_FLOOR11,bedroom 01,Unknown,True
175,3B_ROOF12,bedroom 01,Unknown,False
175,3B_WINDOW13,bedroom 02,South,True
175,3B_WALL15,bedroom 02,Unknown,False
175,3B_WALL14,bedroom 02,Unknown,False
175,3B_FLOOR16,bedroom 02,Unknown,False
175,3B_ROOF17,bedroom 02,Unknown,False
175,3B_WINDOW3,bedroom 03,South,True
175,3B_WALL5,bedroom 03,Unknown,False
175,3B_WALL4,bedroom 03,Unknown,False
175,3B_FLOOR6,bedroom 03,Unknown,False
175,3B_ROOF7,bedroom 03,Unknown,False
196,1B_WALL0,kitchen,Unknown,False
196,1B_DOOR2,living room,Unknown,False
196,1B_WALL1,living room,Unknown,False
196,1B_FLOOR3,living room,Unknown,False
196,1B_ROOF4,living room,Unknown,False
196,1B_FLOOR8,bedroom 01,Unknown,False
196,1B_ROOF9,bedroom 01,Unknown,True
184,1B_WALL0,kitchen,Unknown,False
184,1B_DOOR2,living room,Unknown,False
184,1B_WALL1,living room,Unknown,False
184,1B_FLOOR3,living room,Unknown,False
184,1B_ROOF4,living room,Unknown,False
184,1B_FLOOR8,bedroom 01,Unknown,True
184,1B_ROOF9,bedroom 01,Unknown,True
188,1B_WALL0,kitchen,Unknown,False
188,1B_DOOR2,living room,Unknown,False
188,1B_WALL1,living room,Unknown,False
188,1B_FLOOR3,living room,Unknown,False
188,1B_ROOF4,living room,Unknown,False
188,1B_WALL5,bathroom,Unknown,False
188,1B_FLOOR8,bedroom 01,Unknown,False
188,1B_ROOF9,bedroom 01,Unknown,False
186,3B_DOOR0,living room,Unknown,False
186,3B_FLOOR1,living room,Unknown,False
186,3B_ROOF2,living room,Unknown,True
186,3B_WALL10,bathroom,North,True
186,3B_WINDOW9,bedroom 01,South,True
186,3B_WINDOW8,bedroom 01,West,True
186,3B_FLOOR11,bedroom 01,Unknown,False
186,3B_ROOF12,bedroom 01,Unknown,False
186,3B_WINDOW13,bedroom 02,West,True
186,3B_WALL15,bedroom 02,Unknown,False
186,3B_WALL14,bedroom 02,Unknown,False
186,3B_FLOOR16,bedroom 02,Unknown,False
186,3B_ROOF17,bedroom 02,Unknown,False
186,3B_WINDOW3,bedroom 03,West,True
186,3B_WALL5,bedroom 03,Unknown,False
186,3B_WALL4,bedroom 03,Unknown,False
186,3B_FLOOR6,bedroom 03,Unknown,False
186,3B_ROOF7,bedroom 03,Unknown,False
198,3B_DOOR0,living room,Unknown,False
198,3B_FLOOR1,living room,Unknown,False
198,3B_ROOF2,living room,Unknown,False
198,3B_WALL10,bathroom,West,True
198,3B_WINDOW9,bedroom 01,East,True
198,3B_WINDOW8,bedroom 01,South,True
198,3B_FLOOR11,bedroom 01,Unknown,False
198,3B_ROOF12,bedroom 01,Unknown,False
198,3B_WINDOW13,bedroom 02,South,True
198,3B_WALL15,bedroom 02,Unknown,False
198,3B_WALL14,bedroom 02,Unknown,False
198,3B_FLOOR16,bedroom 02,Unknown,False
198,3B_ROOF17,bedroom 02,Unknown,False
198,3B_WINDOW3,bedroom 03,South,True
198,3B_WALL5,bedroom 03,Unknown,False
198,3B_WALL4,bedroom 03,Unknown,False
198,3B_FLOOR6,bedroom 03,Unknown,False
198,3B_ROOF7,bedroom 03,Unknown,False
177,3B_DOOR0,living room,Unknown,False
177,3B_FLOOR1,living room,Unknown,False
177,3B_ROOF2,living room,Unknown,False
177,3B_WALL10,bathroom,North,True
177,3B_WINDOW9,bedroom 01,South,True
177,3B_WINDOW8,bedroom 01,West,True
177,3B_FLOOR11,bedroom 01,Unknown,False
177,3B_ROOF12,bedroom 01,Unknown,True
177,3B_WINDOW13,bedroom 02,West,True
177,3B_WINDOW15,bedroom 02,North,True
177,3B_WALL14,bedroom 02,Unknown,False
177,3B_FLOOR16,bedroom 02,Unknown,False
177,3B_ROOF17,bedroom 02,Unknown,False
177,3B_WINDOW3,bedroom 03,West,True
177,3B_WALL5,bedroom 03,Unknown,False
177,3B_WALL4,bedroom 03,Unknown,False
177,3B_FLOOR6,bedroom 03,Unknown,False
177,3B_ROOF7,bedroom 03,Unknown,False
171,3B_DOOR0,living room,Unknown,False
171,3B_FLOOR1,living room,Unknown,False
171,3B_ROOF2,living room,Unknown,False
171,3B_WALL10,bathroom,South,True
171,3B_WINDOW9,bedroom 01,North,True
171,3B_WINDOW8,bedroom 01,East,True
171,3B_FLOOR11,bedroom 01,Unknown,False
171,3B_ROOF12,bedroom 01,Unknown,False
171,3B_WINDOW13,bedroom 02,East,True
171,3B_WALL15,bedroom 02,Unknown,False
171,3B_WALL14,bedroom 02,Unknown,False
171,3B_FLOOR16,bedroom 02,Unknown,False
171,3B_ROOF17,bedroom 02,Unknown,False
171,3B_WINDOW3,bedroom 03,East,True
171,3B_WALL5,bedroom 03,Unknown,False
171,3B_WALL4,bedroom 03,Unknown,False
171,3B_FLOOR6,bedroom 03,Unknown,False
171,3B_ROOF7,bedroom 03,Unknown,False
1101,3B_DOOR0,living room,Unknown,False
1101,3B_FLOOR1,living room,Unknown,False
1101,3B_ROOF2,living room,Unknown,False
1101,3B_WALL10,bathroom,West,True
1101,3B_WINDOW9,bedroom 01,East,True
1101,3B_WINDOW8,bedroom 01,South,True
1101,3B_FLOOR11,bedroom 01,Unknown,False
1101,3B_ROOF12,bedroom 01,Unknown,False
1101,3B_WINDOW13,bedroom 02,South,True
1101,3B_WALL15,bedroom 02,Unknown,False
1101,3B_WALL14,bedroom 02,Unknown,False
1101,3B_FLOOR16,bedroom 02,Unknown,False
1101,3B_ROOF17,bedroom 02,Unknown,False
1101,3B_WINDOW3,bedroom 03,South,True
1101,3B_WALL5,bedroom 03,Unknown,False
1101,3B_WALL4,bedroom 03,Unknown,False
