unit_id,panel_id,room,orientation,is_exterior
185,2B_WALL1,kitchen,East,True
185,2B_DOOR0,living room,,False
185,2B_FLOOR2,living room,,False
185,2B_ROOF3,living room,,False
185,2B_WINDOW10,bedroom 01,West,True
185,2B_WINDOW9,bedroom 01,North,True
185,2B_WALL11,bedroom 01,,False
185,2B_FLOOR12,bedroom 01,,False
185,2B_ROOF13,bedroom 01,,True
185,2B_WINDOW5,bedroom 02,West,True
185,2B_WINDOW4,bedroom 02,North,True
185,2B_WALL6,bedroom 02,,False
185,2B_FLOOR7,bedroom 02,,False
185,2B_ROOF8,bedroom 02,,False
179,3B_DOOR0,living room,,False
179,3B_FLOOR1,living room,,False
179,3B_ROOF2,living room,,False
179,3B_WALL10,bathroom,North,True
179,3B_WINDOW9,bedroom 01,South,True
179,3B_WALL8,bedroom 01,,False
179,3B_FLOOR11,bedroom 01,,False
179,3B_ROOF12,bedroom 01,,True
179,3B_WINDOW13,bedroom 02,West,True
179,3B_WINDOW15,bedroom 02,North,True
179,3B_WALL14,bedroom 02,,False
179,3B_FLOOR16,bedroom 02,,True
179,3B_ROOF17,bedroom 02,,False
179,3B_WINDOW3,bedroom 03,West,True
179,3B_WALL5,bedroom 03,,False
179,3B_WALL4,bedroom 03,,False
179,3B_FLOOR6,bedroom 03,,False
179,3B_ROOF7,bedroom 03,,False
163,2B_WALL1,kitchen,,False
163,2B_DOOR0,living room,,False
163,2B_FLOOR2,living room,,False
163,2B_ROOF3,living room,,False
163,2B_WALL11,bedroom 01,,False
163,2B_FLOOR12,bedroom 01,,False
163,2B_ROOF13,bedroom 01,,False
163,2B_WALL6,bedroom 02,,False
163,2B_WALL5,bedroom 02,,False
163,2B_FLOOR7,bedroom 02,,False
163,2B_ROOF8,bedroom 02,,True
168,2B_WALL1,kitchen,,False
168,2B_DOOR0,living room,,False
168,2B_FLOOR2,living room,,False
168,2B_ROOF3,living room,,False
168,2B_WALL11,bedroom 01,East,True
168,2B_WINDOW10,bedroom 01,West,True
168,2B_WINDOW9,bedroom 01,North,True
168,2B_FLOOR12,bedroom 01,,False
168,2B_ROOF13,bedroom 01,,False
168,2B_WINDOW4,bedroom 02,North,True
168,2B_WALL6,bedroom 02,,False
168,2B_WALL5,bedroom 02,,False
168,2B_FLOOR7,bedroom 02,,False
168,2B_ROOF8,bedroom 02,,False
190,2B_WALL1,kitchen,,False
190,2B_DOOR0,living room,,False
190,2B_FLOOR2,living room,,False
190,2B_ROOF3,living room,,False
190,2B_WALL11,bedroom 01,West,True
190,2B_WINDOW10,bedroom 01,East,True
190,2B_WINDOW9,bedroom 01,South,True
190,2B_FLOOR12,bedroom 01,,False
190,2B_ROOF13,bedroom 01,,True
190,2B_WINDOW4,bedroom 02,South,True
190,2B_WALL6,bedroom 02,,False
190,2B_WALL5,bedroom 02,,False
190,2B_FLOOR7,bedroom 02,,False
190,2B_ROOF8,bedroom 02,,False
186,3B_DOOR0,living room,,False
186,3B_FLOOR1,living room,,False
186,3B_ROOF2,living room,,False
186,3B_WALL10,bathroom,North,True
186,3B_WINDOW9,bedroom 01,South,True
186,3B_WINDOW8,bedroom 01,West,True
186,3B_FLOOR11,bedroom 01,,False
186,3B_ROOF12,bedroom 01,,False
186,3B_WINDOW13,bedroom 02,West,True
186,3B_WALL15,bedroom 02,,False
186,3B_WALL14,bedroom 02,,False
186,3B_FLOOR16,bedroom 02,,False
186,3B_ROOF17,bedroom 02,,False
186,3B_WINDOW3,bedroom 03,West,True
186,3B_WALL5,bedroom 03,,False
186,3B_WALL4,bedroom 03,,False
186,3B_FLOOR6,bedroom 03,,False
186,3B_ROOF7,bedroom 03,,False
164,2B_WALL1,kitchen,,False
164,2B_DOOR0,living room,,False
164,2B_FLOOR2,living room,,False
164,2B_ROOF3,living room,,False
164,2B_WALL11,bedroom 01,East,True
164,2B_WINDOW10,bedroom 01,West,True
164,2B_WINDOW9,bedroom 01,North,True
164,2B_FLOOR12,bedroom 01,,False
164,2B_ROOF13,bedroom 01,,True
164,2B_WINDOW4,bedroom 02,North,True
164,2B_WALL6,bedroom 02,,False
164,2B_WALL5,bedroom 02,,False
164,2B_FLOOR7,bedroom 02,,False
164,2B_ROOF8,bedroom 02,,False
1104,1B_WALL0,kitchen,,False
1104,1B_DOOR2,living room,,False
1104,1B_WALL1,living room,,False
1104,1B_FLOOR3,living room,,False
1104,1B_ROOF4,living room,,False
1104,1B_WALL7,bedroom 01,,False
1104,1B_FLOOR8,bedroom 01,,False
1104,1B_ROOF9,bedroom 01,,True
161,2B_WALL1,kitchen,,False
161,2B_DOOR0,living room,,False
161,2B_FLOOR2,living room,,False
161,2B_ROOF3,living room,,False
161,2B_WALL11,bedroom 01,East,True
161,2B_WINDOW10,bedroom 01,West,True
161,2B_WINDOW9,bedroom 01,North,True
161,2B_FLOOR12,bedroom 01,,False
161,2B_ROOF13,bedroom 01,,False
161,2B_WINDOW4,bedroom 02,North,True
161,2B_WALL6,bedroom 02,,False
161,2B_WALL5,bedroom 02,,False
161,2B_FLOOR7,bedroom 02,,False
161,2B_ROOF8,bedroom 02,,False
172,3B_DOOR0,living room,,False
172,3B_FLOOR1,living room,,False
172,3B_ROOF2,living room,,False
172,3B_WALL10,bathroom,South,True
172,3B_WINDOW9,bedroom 01,North,True
172,3B_WINDOW8,bedroom 01,East,True
172,3B_FLOOR11,bedroom 01,,False
172,3B_ROOF12,bedroom 01,,False
172,3B_WINDOW13,bedroom 02,East,True
172,3B_WALL15,bedroom 02,,False
172,3B_WALL14,bedroom 02,,False
172,3B_FLOOR16,bedroom 02,,False
172,3B_ROOF17,bedroom 02,,False
172,3B_WINDOW3,bedroom 03,East,True
172,3B_WALL5,bedroom 03,,False
172,3B_WALL4,bedroom 03,,False
172,3B_FLOOR6,bedroom 03,,False
172,3B_ROOF7,bedroom 03,,False
178,3B_DOOR0,living room,,False
178,3B_FLOOR1,living room,,False
178,3B_ROOF2,living room,,True
178,3B_WALL10,bathroom,South,True
178,3B_WINDOW9,bedroom 01,North,True
178,3B_WINDOW8,bedroom 01,East,True
178,3B_FLOOR11,bedroom 01,,True
178,3B_ROOF12,bedroom 01,,False
178,3B_WINDOW13,bedroom 02,East,True
178,3B_WINDOW15,bedroom 02,South,True
178,3B_WALL14,bedroom 02,,False
178,3B_FLOOR16,bedroom 02,,False
178,3B_ROOF17,bedroom 02,,False
178,3B_WINDOW3,bedroom 03,East,True
178,3B_WALL5,bedroom 03,,False
178,3B_WALL4,bedroom 03,,False
178,3B_FLOOR6,bedroom 03,,False
178,3B_ROOF7,bedroom 03,,False
169,3B_DOOR0,living room,,False
169,3B_FLOOR1,living room,,False
169,3B_ROOF2,living room,,False
169,3B_WALL10,bathroom,West,True
169,3B_WINDOW9,bedroom 01,East,True
169,3B_WINDOW8,bedroom 01,South,True
169,3B_FLOOR11,bedroom 01,,True
169,3B_ROOF12,bedroom 01,,False
169,3B_WINDOW13,bedroom 02,South,True
169,3B_WALL15,bedroom 02,,False
169,3B_WALL14,bedroom 02,,False
169,3B_FLOOR16,bedroom 02,,False
169,3B_ROOF17,bedroom 02,,False
169,3B_WINDOW3,bedroom 03,South,True
169,3B_WALL5,bedroom 03,,False
169,3B_WALL4,bedroom 03,,False
169,3B_FLOOR6,bedroom 03,,False
169,3B_ROOF7,bedroom 03,,False
193,2B_WALL1,kitchen,,False
193,2B_DOOR0,living room,,False
193,2B_FLOOR2,living room,,False
193,2B_ROOF3,living room,,False
193,2B_WALL11,bedroom 01,North,True
193,2B_WINDOW10,bedroom 01,South,True
193,2B_WINDOW9,bedroom 01,West,True
193,2B_FLOOR12,bedroom 01,,False
193,2B_ROOF13,bedroom 01,,False
193,2B_WINDOW4,bedroom 02,West,True
193,2B_WALL6,bedroom 02,,False
193,2B_WALL5,bedroom 02,,False
193,2B_FLOOR7,bedroom 02,,False
193,2B_ROOF8,bedroom 02,,False
183,2B_WALL1,kitchen,North,True
183,2B_DOOR0,living room,,False
183,2B_FLOOR2,living room,,False
183,2B_ROOF3,living room,,False
183,2B_WINDOW10,bedroom 01,South,True
183,2B_WALL9,bedroom 01,,False
183,2B_WALL11,bedroom 01,,False
183,2B_FLOOR12,bedroom 01,,False
183,2B_ROOF13,bedroom 01,,False
183,2B_WINDOW4,bedroom 02,West,True
183,2B_WALL6,bedroom 02,,False
183,2B_WALL5,bedroom 02,,False
183,2B_FLOOR7,bedroom 02,,False
183,2B_ROOF8,bedroom 02,,False
199,2B_WALL1,kitchen,,False
199,2B_DOOR0,living room,,False
199,2B_FLOOR2,living room,,False
199,2B_ROOF3,living room,,False
199,2B_WALL11,bedroom 01,West,True
199,2B_WINDOW10,bedroom 01,East,True
199,2B_WINDOW9,bedroom 01,South,True
199,2B_FLOOR12,bedroom 01,,False
199,2B_ROOF13,bedroom 01,,False
199,2B_WINDOW4,bedroom 02,South,True
199,2B_WALL6,bedroom 02,,False
199,2B_WALL5,bedroom 02,,False
199,2B_FLOOR7,bedroom 02,,False
199,2B_ROOF8,bedroom 02,,False
187,1B_WALL0,kitchen,,False
187,1B_DOOR2,living room,,False
187,1B_FLOOR3,living room,,False
187,1B_ROOF4,living room,,False
187,1B_WALL7,bedroom 01,,False
187,1B_FLOOR8,bedroom 01,,False
187,1B_ROOF9,bedroom 01,,False
170,3B_DOOR0,living room,,False
170,3B_FLOOR1,living room,,False
170,3B_ROOF2,living room,,False
170,3B_WALL10,bathroom,West,True
170,3B_WINDOW9,bedroom 01,East,True
170,3B_WINDOW8,bedroom 01,South,True
170,3B_FLOOR11,bedroom 01,,True
170,3B_ROOF12,bedroom 01,,True
170,3B_WINDOW13,bedroom 02,South,True
170,3B_WINDOW15,bedroom 02,West,True
170,3B_WALL14,bedroom 02,,False
170,3B_FLOOR16,bedroom 02,,False
170,3B_ROOF17,bedroom 02,,False
170,3B_WINDOW3,bedroom 03,South,True
170,3B_WALL5,bedroom 03,,False
170,3B_WALL4,bedroom 03,,False
170,3B_FLOOR6,bedroom 03,,False
170,3B_ROOF7,bedroom 03,,False
1101,2B_WALL1,kitchen,,False
1101,2B_DOOR0,living room,,False
1101,2B_FLOOR2,living room,,False
1101,2B_ROOF3,living room,,False
1101,2B_WALL11,bedroom 01,North,True
1101,2B_WINDOW10,bedroom 01,South,True
1101,2B_WINDOW9,bedroom 01,West,True
1101,2B_FLOOR12,bedroom 01,,False
1101,2B_ROOF13,bedroom 01,,False
1101,2B_WINDOW5,bedroom 02,South,True
1101,2B_WINDOW4,bedroom 02,West,True
1101,2B_WALL6,bedroom 02,,False
1101,2B_FLOOR7,bedroom 02,,False
1101,2B_ROOF8,bedroom 02,,False
196,2B_WALL1,kitchen,,False
196,2B_DOOR0,living room,,False
196,2B_FLOOR2,living room,,False
196,2B_ROOF3,living room,,False
196,2B_WALL11,bedroom 01,,False
196,2B_FLOOR12,bedroom 01,,False
196,2B_ROOF13,bedroom 01,,True
196,2B_WALL6,bedroom 02,,False
196,2B_WALL5,bedroom 02,,False
196,2B_FLOOR7,bedroom 02,,False
196,2B_ROOF8,bedroom 02,,False
192,2B_WALL1,kitchen,,False
192,2B_DOOR0,living room,,False
192,2B_FLOOR2,living room,,False
192,2B_ROOF3,living room,,False
192,2B_WALL11,bedroom 01,West,True
192,2B_WINDOW10,bedroom 01,East,True
192,2B_WINDOW9,bedroom 01,South,True
192,2B_FLOOR12,bedroom 01,,False
192,2B_ROOF13,bedroom 01,,True
192,2B_WINDOW4,bedroom 02,South,True
192,2B_WALL6,bedroom 02,,False
192,2B_WALL5,bedroom 02,,False
192,2B_FLOOR7,bedroom 02,,False
192,2B_ROOF8,bedroom 02,,False
171,3B_DOOR0,living room,,False
171,3B_FLOOR1,living room,,False
171,3B_ROOF2,living room,,False
171,3B_WALL10,bathroom,West,True
171,3B_WINDOW9,bedroom 01,East,True
171,3B_WINDOW8,bedroom 01,South,True
171,3B_FLOOR11,bedroom 01,,True
171,3B_ROOF12,bedroom 01,,True
171,3B_WINDOW13,bedroom 02,South,True
171,3B_WALL15,bedroom 02,,False
171,3B_WALL14,bedroom 02,,False
171,3B_FLOOR16,bedroom 02,,False
171,3B_ROOF17,bedroom 02,,False
171,3B_WINDOW3,bedroom 03,South,True
171,3B_WALL5,bedroom 03,,False
171,3B_WALL4,bedroom 03,,False
171,3B_FLOOR6,bedroom 03,,False
171,3B_ROOF7,bedroom 03,,False
166,3B_DOOR0,living room,,False
166,3B_FLOOR1,living room,,False
166,3B_ROOF2,living room,,False
166,3B_WALL10,bathroom,East,True
166,3B_WINDOW9,bedroom 01,West,True
166,3B_WINDOW8,bedroom 01,North,True
166,3B_FLOOR11,bedroom 01,,False
166,3B_ROOF12,bedroom 01,,False
166,3B_WINDOW13,bedroom 02,North,True
166,3B_WALL15,bedroom 02,,False
166,3B_WALL14,bedroom 02,,False
166,3B_FLOOR16,bedroom 02,,False
166,3B_ROOF17,bedroom 02,,False
166,3B_WINDOW3,bedroom 03,North,True
166,3B_WALL5,bedroom 03,,False
166,3B_WALL4,bedroom 03,,False
166,3B_FLOOR6,bedroom 03,,False
166,3B_ROOF7,bedroom 03,,False
1102,1B_WALL0,kitchen,,False
1102,1B_DOOR2,living room,,False
1102,1B_WALL1,living room,,False
1102,1B_FLOOR3,living room,,False
1102,1B_ROOF4,living room,,False
1102,1B_WALL7,bedroom 01,,False
1102,1B_FLOOR8,bedroom 01,,False
1102,1B_ROOF9,bedroom 01,,False
191,2B_WALL1,kitchen,,False
191,2B_DOOR0,living room,,False
191,2B_FLOOR2,living room,,False
191,2B_ROOF3,living room,,False
191,2B_WALL11,bedroom 01,West,True
191,2B_WINDOW10,bedroom 01,East,True
191,2B_WINDOW9,bedroom 01,South,True
191,2B_FLOOR12,bedroom 01,,False
191,2B_ROOF13,bedroom 01,,False
191,2B_WINDOW5,bedroom 02,East,True
191,2B_WINDOW4,bedroom 02,South,True
191,2B_WALL6,bedroom 02,,False
191,2B_FLOOR7,bedroom 02,,False
191,2B_ROOF8,bedroom 02,,False
165,3B_DOOR0,living room,,False
165,3B_FLOOR1,living room,,False
165,3B_ROOF2,living room,,False
165,3B_WALL10,bathroom,South,True
165,3B_WINDOW9,bedroom 01,North,True
165,3B_WINDOW8,bedroom 01,East,True
165,3B_FLOOR11,bedroom 01,,False
165,3B_ROOF12,bedroom 01,,True
165,3B_WINDOW13,bedroom 02,East,True
165,3B_WALL15,bedroom 02,,False
165,3B_WALL14,bedroom 02,,False
165,3B_FLOOR16,bedroom 02,,False
165,3B_ROOF17,bedroom 02,,False
165,3B_WINDOW4,bedroom 03,North,True
165,3B_WINDOW3,bedroom 03,East,True
165,3B_WALL5,bedroom 03,,False
165,3B_FLOOR6,bedroom 03,,False
165,3B_ROOF7,bedroom 03,,False
175,2B_WALL1,kitchen,,False
175,2B_DOOR0,living room,,False
175,2B_FLOOR2,living room,,False
175,2B_ROOF3,living room,,False
175,2B_WALL11,bedroom 01,West,True
175,2B_WINDOW10,bedroom 01,East,True
175,2B_WINDOW9,bedroom 01,South,True
175,2B_FLOOR12,bedroom 01,,True
175,2B_ROOF13,bedroom 01,,True
175,2B_WINDOW4,bedroom 02,South,True
175,2B_WALL6,bedroom 02,,False
175,2B_WALL5,bedroom 02,,False
175,2B_FLOOR7,bedroom 02,,False
175,2B_ROOF8,bedroom 02,,False
162,1B_WALL0,kitchen,,False
162,1B_DOOR2,living room,,False
162,1B_WALL1,living room,,False
162,1B_FLOOR3,living room,,False
162,1B_ROOF4,living room,,False
162,1B_WALL7,bedroom 01,,False
162,1B_FLOOR8,bedroom 01,,False
162,1B_ROOF9,bedroom 01,,False
174,3B_DOOR0,living room,,False
174,3B_FLOOR1,living room,,False
174,3B_ROOF2,living room,,False
174,3B_WALL10,bathroom,East,True
174,3B_WINDOW9,bedroom 01,West,True
174,3B_WINDOW8,bedroom 01,North,True
174,3B_FLOOR11,bedroom 01,,False
174,3B_ROOF12,bedroom 01,,False
174,3B_WINDOW13,bedroom 02,North,True
174,3B_WALL15,bedroom 02,,False
174,3B_WALL14,bedroom 02,,False
174,3B_FLOOR16,bedroom 02,,False
174,3B_ROOF17,bedroom 02,,False
174,3B_WINDOW4,bedroom 03,West,True
174,3B_WINDOW3,bedroom 03,North,True
174,3B_WALL5,bedroom 03,,False
174,3B_FLOOR6,bedroom 03,,False
174,3B_ROOF7,bedroom 03,,False
198,2B_WALL1,kitchen,,False
198,2B_DOOR0,living room,,False
198,2B_FLOOR2,living room,,False
198,2B_ROOF3,living room,,False
198,2B_WALL11,bedroom 01,North,True
198,2B_WINDOW10,bedroom 01,South,True
198,2B_WINDOW9,bedroom 01,West,True
198,2B_FLOOR12,bedroom 01,,False
198,2B_ROOF13,bedroom 01,,False
198,2B_WINDOW4,bedroom 02,West,True
198,2B_WALL6,bedroom 02,,False
198,2B_WALL5,bedroom 02,,False
198,2B_FLOOR7,bedroom 02,,False
198,2B_ROOF8,bedroom 02,,False
181,3B_DOOR0,living room,,False
181,3B_FLOOR1,living room,,True
181,3B_ROOF2,living room,,False
181,3B_WALL10,bathroom,South,True
181,3B_WINDOW9,bedroom 01,North,True
181,3B_WINDOW8,bedroom 01,East,True
181,3B_FLOOR11,bedroom 01,,True
181,3B_ROOF12,bedroom 01,,False
181,3B_WINDOW13,bedroom 02,East,True
181,3B_WINDOW15,bedroom 02,South,True
181,3B_WINDOW14,bedroom 02,West,True
181,3B_FLOOR16,bedroom 02,,True
181,3B_ROOF17,bedroom 02,,False
181,3B_WINDOW5,bedroom 03,West,True
181,3B_WINDOW4,bedroom 03,North,True
181,3B_WINDOW3,bedroom 03,East,True
181,3B_FLOOR6,bedroom 03,,True
181,3B_ROOF7,bedroom 03,,False
177,3B_DOOR0,living room,,False
177,3B_FLOOR1,living room,,False
177,3B_ROOF2,living room,,False
177,3B_WALL10,bathroom,North,True
177,3B_WINDOW9,bedroom 01,South,True
177,3B_WINDOW8,bedroom 01,West,True
177,3B_FLOOR11,bedroom 01,,True
177,3B_ROOF12,bedroom 01,,False
177,3B_WINDOW13,bedroom 02,West,True
177,3B_WINDOW14,bedroom 02,East,True
